Session Key,Protocol,Src IP,Src Port,Dst IP,Dst Port,Init Ts,Last Ts,Ts,Duration,Mac Addr,Label,Fwd IAT Min,Fwd IAT Max,Fwd IAT Sum,Fwd IAT Ave,Fwd IAT Std,Bwd IAT Min,Bwd IAT Max,Bwd IAT Sum,Bwd IAT Ave,Bwd IAT Std,Flow IAT Min,Flow IAT Max,Flow IAT Ave,Flow IAT Std,Fwd Flag Ack Num,Bwd Flag Ack Num,F/Bwd Flag Ack Ratio,Fwd Flag Ack Speed,Bwd Flag Ack Speed,Fwd Flag Cwr Num,Bwd Flag Cwr Num,F/Bwd Flag Cwr Ratio,Fwd Flag Cwr Speed,Bwd Flag Cwr Speed,Fwd Flag Ecn Num,Bwd Flag Ecn Num,F/Bwd Flag Ecn Ratio,Fwd Flag Ecn Speed,Bwd Flag Ecn Speed,Fwd Flag Fin Num,Bwd Flag Fin Num,F/Bwd Flag Fin Ratio,Fwd Flag Fin Speed,Bwd Flag Fin Speed,Fwd Flag Ns Num,Bwd Flag Ns Num,F/Bwd Flag Ns Ratio,Fwd Flag Ns Speed,Bwd Flag Ns Speed,Fwd Flag Push Num,Bwd Flag Push Num,F/Bwd Flag Push Ratio,Fwd Flag Push Speed,Bwd Flag Push Speed,Fwd Flag Res Num,Bwd Flag Res Num,F/Bwd Flag Res Ratio,Fwd Flag Res Speed,Bwd Flag Res Speed,Fwd Flag Reset Num,Bwd Flag Reset Num,F/Bwd Flag Reset Ratio,Fwd Flag Reset Speed,Bwd Flag Reset Speed,Fwd Flag Syn Num,Bwd Flag Syn Num,F/Bwd Flag Syn Ratio,Fwd Flag Syn Speed,Bwd Flag Syn Speed,Fwd Flag Urg Num,Bwd Flag Urg Num,F/Bwd Flag Urg Ratio,Fwd Flag Urg Speed,Bwd Flag Urg Speed,Fwd Pkt Len Min,Fwd Pkt Len Max,Fwd Pkt Len Sum,Fwd Pkt Len Ave,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Max,Bwd Pkt Len Sum,Bwd Pkt Len Ave,Bwd Pkt Len Std,Flow Pkt Len Min,Flow Pkt Len Max,Flow Pkt Len Ave,Flow Pkt Len Std,Fwd Pkt Num,Bwd Pkt Num,F/Bwd Pkt Ratio,Fwd Pkt Speed,Bwd Pkt Speed,Fwd Byte Num,Bwd Byte Num,F/Bwd Byte Ratio,Fwd Byte Speed,Bwd Byte Speed
ICMPv6 fe80::201:1:1:1 0 ff02::1a 0 155 1,ICMPv6,fe80::201:1:1:1,0,ff02::1a,0,2021-05-27 21:49:16.531000,2021-05-27 21:49:16.531000,1622144956531000.0,0.0,"{'0x0000ffff', '00:01:00:01:00:01:00:01'}",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,97.0,97.0,97.0,97.0,0,0,0,0,0,0,97.0,97.0,97.0,0,1.0,0.0,0,0.0,0.0,97.0,0.0,0,0.0,0.0
ICMPv6 fe80::201:1:1:1 0 fe80::20b:b:b:b 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::20b:b:b:b,0,2021-05-27 21:49:16.580000,2021-05-27 21:49:20.261000,1622144956580000.0,3681000.0,"{'00:0b:00:0b:00:0b:00:0b', '00:01:00:01:00:01:00:01'}",,0,0,0,0,0,0.5399999618530273,3.1410000324249268,3.680999994277954,1.840499997138977,1.8391847877680787,0.5399999618530273,3.1410000324249268,1.840499997138977,1.8391847877680787,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,102.0,102.0,306.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,3.0,0.0,0.0,0.8149959250203749,0.0,306.0,0.0,0.0,83.12958435207824
WPAN 0 0 0 0 0x00000002,WPAN,0,0,0,0,2021-05-27 21:49:16.584200,2021-05-27 21:49:21.514200,1622144956584200.0,4930000.0,set(),,0.013000011444091797,0.5930001735687256,4.930000066757202,0.21434782898944357,0.18724446881322296,0,0,0,0,0,0.013000011444091797,0.5930001735687256,0.21434782898944357,0.18724446881322296,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,5.0,120.0,5.0,0.0,0,0,0,0,0,5.0,5.0,5.0,0.0,24.0,0.0,0,4.8681541582150105,0.0,120.0,0.0,0,24.34077079107505,0.0
ICMPv6 fe80::201:1:1:1 0 fe80::20c:c:c:c 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::20c:c:c:c,0,2021-05-27 21:49:16.666000,2021-05-27 21:49:20.854000,1622144956666000.0,4188000.0,"{'00:0c:00:0c:00:0c:00:0c', '00:01:00:01:00:01:00:01'}",,0,0,0,0,0,0.14600014686584473,3.7920000553131104,4.188000202178955,1.396000067392985,2.0756483201515405,0.14600014686584473,3.7920000553131104,1.396000067392985,2.0756483201515405,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,102.0,102.0,408.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,4.0,0.0,0.0,0.9551098376313276,0.0,408.0,0.0,0.0,97.42120343839542
ICMPv6 fe80::201:1:1:1 0 fe80::20a:a:a:a 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::20a:a:a:a,0,2021-05-27 21:49:17.187000,2021-05-27 21:49:21.741000,1622144957187000.0,4554000.0,"{'00:01:00:01:00:01:00:01', '00:0a:00:0a:00:0a:00:0a'}",,0,0,0,0,0,0.7709999084472656,2.0,4.553999900817871,1.5179999669392903,0.6559566040281214,0.7709999084472656,2.0,1.5179999669392903,0.6559566040281214,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,102.0,102.0,408.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,4.0,0.0,0.0,0.8783487044356609,0.0,408.0,0.0,0.0,89.59156785243741
ICMPv6 fe80::201:1:1:1 0 fe80::209:9:9:9 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::209:9:9:9,0,2021-05-27 21:49:17.500000,2021-05-27 21:49:21.996000,1622144957500000.0,4496000.0,"{'00:01:00:01:00:01:00:01', '00:09:00:09:00:09:00:09'}",,0,0,0,0,0,0.5759999752044678,2.0250000953674316,4.496000051498413,1.4986666838328044,0.8016922095461254,0.5759999752044678,2.0250000953674316,1.4986666838328044,0.8016922095461254,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,102.0,102.0,408.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,4.0,0.0,0.0,0.889679715302491,0.0,408.0,0.0,0.0,90.74733096085409
ICMPv6 fe80::201:1:1:1 0 fe80::206:6:6:6 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::206:6:6:6,0,2021-05-27 21:49:18.279000,2021-05-27 21:49:22.178000,1622144958279000.0,3899000.0,"{'00:01:00:01:00:01:00:01', '00:06:00:06:00:06:00:06'}",,0,0,0,0,0,3.8989999294281006,3.8989999294281006,3.8989999294281006,3.8989999294281006,0,3.8989999294281006,3.8989999294281006,3.8989999294281006,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,102.0,102.0,204.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,2.0,0.0,0.0,0.5129520389843549,0.0,204.0,0.0,0.0,52.32110797640421
ICMPv6 fe80::201:1:1:1 0 fe80::205:5:5:5 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::205:5:5:5,0,2021-05-27 21:49:18.863000,2021-05-27 21:49:21.510000,1622144958863000.0,2647000.0,"{'00:01:00:01:00:01:00:01', '00:05:00:05:00:05:00:05'}",,0,0,0,0,0,0.24100017547607422,2.4059998989105225,2.6470000743865967,1.3235000371932983,1.5308859857074983,0.24100017547607422,2.4059998989105225,1.3235000371932983,1.5308859857074983,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,102.0,102.0,306.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,3.0,0.0,0.0,1.1333585190782018,0.0,306.0,0.0,0.0,115.60256894597659
ICMPv6 fe80::201:1:1:1 0 fe80::207:7:7:7 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::207:7:7:7,0,2021-05-27 21:49:19.151000,2021-05-27 21:49:24.073000,1622144959151000.0,4922000.0,"{'00:01:00:01:00:01:00:01', '00:07:00:07:00:07:00:07'}",,0,0,0,0,0,1.0969998836517334,3.825000047683716,4.921999931335449,2.4609999656677246,1.9289874150650288,1.0969998836517334,3.825000047683716,2.4609999656677246,1.9289874150650288,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,102.0,102.0,306.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,3.0,0.0,0.0,0.609508329947176,0.0,306.0,0.0,0.0,62.16984965461195
ICMPv6 fe80::201:1:1:1 0 fe80::203:3:3:3 0 155 1,ICMPv6,fe80::201:1:1:1,0,fe80::203:3:3:3,0,2021-05-27 21:49:19.603296,2021-05-27 21:49:22.051296,1622144959603296.0,2448000.0,"{'00:01:00:01:00:01:00:01', '00:03:00:03:00:03:00:03'}",,0,0,0,0,0,0.21499991416931152,1.2590000629425049,2.447999954223633,0.8159999847412109,0.5396360587020164,0.21499991416931152,1.2590000629425049,0.8159999847412109,0.5396360587020164,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,102.0,102.0,408.0,102.0,0.0,102.0,102.0,102.0,0.0,0.0,4.0,0.0,0.0,1.6339869281045751,0.0,408.0,0.0,0.0,166.66666666666666
